monitor_id,product_id,screen_size,resolution,refresh_rate,response_time_(g2g),panel_type,aspect_ratio
325465,129013,24.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325466,129014,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325467,129015,27.0  in,1920 x 1080,144 Hz,5 ms,IPS,16:09
325468,129016,25.0  in,2560 x 1440,60 Hz,4 ms,IPS,16:09
325469,129017,32.0  in,2560 x 1440,60 Hz,8 ms,IPS,16:09
325470,129018,27.0  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325471,129019,31.5  in,2560 x 1440,75 Hz,5 ms,VA,16:09
325472,129020,27.0  in,2560 x 1440,60 Hz,4 ms,IPS,16:09
325473,129021,27.0  in,1920 x 1080,60 Hz,6 ms,IPS,16:09
325474,129022,23.8  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325475,129023,23.8  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325476,129024,19.5  in,1600 x 900,60 Hz,5 ms,TN,16:09
325477,129025,27.0  in,3840 x 2160,144 Hz,4 ms,IPS,16:09
325478,129026,34.1  in,3440 x 1440,60 Hz,4 ms,VA,21:09
325479,129027,32.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325480,129028,27.0  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325481,129029,34.0  in,3440 x 1440,75 Hz,4 ms,IPS,21:09
325482,129030,24.5  in,1920 x 1080,144 Hz,,TN,16:09
325483,129031,15.0  in,1024 x 768,75 Hz,8 ms,,4:03
325484,129032,32.0  in,1366 x 768,,,,16:09
325485,129033,23.8  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325486,129034,23.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325487,129035,24.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325488,129036,23.6  in,1920 x 1080,75 Hz,2 ms,TN,16:09
325489,129037,27.0  in,1920 x 1080,,2 ms,,16:09
325490,129038,23.6  in,1920 x 1080,,2 ms,,16:09
325491,129039,31.5  in,2560 x 1440,144 Hz,5 ms,VA,16:09
325492,129040,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325493,129041,27.0  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325494,129042,27.0  in,3840 x 2160,,7 ms,IPS,16:09
325495,129043,23.8  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325496,129044,24.0  in,1920 x 1080,,2 ms,,16:09
325497,129045,27.0  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325498,129046,24.0  in,1920 x 1080,,2 ms,,16:09
325499,129047,23.6  in,1920 x 1080,60 Hz,2 ms,TN,16:09
325500,129048,21.5  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325501,129049,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325502,129050,23.8  in,1920 x 1080,75 Hz,4 ms,IPS,16:09
325503,129051,34.0  in,3440 x 1440,60 Hz,5 ms,IPS,21:09
325504,129052,27.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325505,129053,23.8  in,1920 x 1080,60 Hz,7 ms,IPS,16:09
325506,129054,23.0  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325507,129055,29.0  in,2560 x 1080,60 Hz,,IPS,21:09
325508,129056,28.0  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325509,129057,49.0  in,3840 x 1080,144 Hz,4 ms,VA,32:09:00
325510,129058,23.0  in,1920 x 1080,,1 ms,,16:09
325511,129059,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325512,129060,24.5  in,1920 x 1080,144 Hz,,TN,16:09
325513,129061,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325514,129062,24.0  in,1920 x 1080,60 Hz,2 ms,TN,16:09
325515,129063,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325516,129064,27.0  in,2560 x 1440,144 Hz,4 ms,AHVA,16:09
325517,129065,27.0  in,1920 x 1080,165 Hz,,VA,16:09
325518,129066,27.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325519,129067,27.0  in,2560 x 1440,165 Hz,,IPS,16:09
325520,129068,27.0  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325521,129069,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325522,129070,32.0  in,3840 x 2160,60 Hz,4 ms,IPS,16:09
325523,129071,23.8  in,1920 x 1080,60 Hz,5 ms,VA,16:09
325524,129072,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325525,129073,24.0  in,1920 x 1080,60 Hz,1 ms,TN,16:09
325526,129074,23.6  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325527,129075,24.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325528,129076,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325529,129077,18.5  in,1366 x 768,,5 ms,,16:09
325530,129078,24.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325531,129079,27.0  in,2560 x 1440,75 Hz,5 ms,IPS,16:09
325532,129080,34.0  in,3440 x 1440,100 Hz,5 ms,IPS,21:09
325533,129081,21.5  in,1920 x 1080,,5 ms,,16:09
325534,129082,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325535,129083,21.5  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325536,129084,23.6  in,1920 x 1080,60 Hz,2 ms,TN,16:09
325537,129085,31.5  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325538,129086,34.0  in,3440 x 1440,100 Hz,4 ms,VA,21:09
325539,129087,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325540,129088,19.5  in,1600 x 900,60 Hz,5 ms,TN,16:09
325541,129089,27.9  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325542,129090,35.0  in,2560 x 1080,160 Hz,4 ms,VA,21:09
325543,129091,32.0  in,2560 x 1440,75 Hz,8 ms,IPS,16:09
325544,129092,37.5  in,3840 x 1600,75 Hz,5 ms,IPS,12:05
325545,129093,34.0  in,2560 x 1080,60 Hz,5 ms,IPS,21:09
325546,129094,27.0  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325547,129095,27.0  in,3840 x 2160,60 Hz,4 ms,IPS,16:09
325548,129096,32.0  in,2560 x 1440,60 Hz,5 ms,VA,16:09
325549,129097,23.8  in,3840 x 2160,60 Hz,,IPS,16:09
325550,129098,23.8  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325551,129099,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325552,129100,23.8  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325553,129101,27.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325554,129102,23.6  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325555,129103,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325556,129104,21.5  in,1920 x 1080,60 Hz,6 ms,VA,16:09
325557,129105,24.5  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325558,129106,35.0  in,3440 x 1440,120 Hz,4 ms,VA,21:09
325559,129107,23.8  in,2560 x 1440,165 Hz,1 ms,TN,16:09
325560,129108,38.0  in,3840 x 1600,75 Hz,5 ms,IPS,12:05
325561,129109,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325562,129110,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325563,129111,27.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325564,129112,21.5  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325565,129113,27.0  in,1920 x 1080,,5 ms,IPS,16:09
325566,129114,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325567,129115,35.0  in,3440 x 1440,100 Hz,3 ms,VA,21:09
325568,129116,34.0  in,3440 x 1440,60 Hz,5 ms,IPS,21:09
325569,129117,31.5  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325570,129118,29.0  in,2560 x 1080,75 Hz,5 ms,IPS,21:09
325571,129119,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325572,129120,27.0  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325573,129121,27.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325574,129122,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325575,129123,27.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325576,129124,31.5  in,3840 x 2160,60 Hz,4 ms,PLS,16:09
325577,129125,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325578,129126,23.8  in,1920 x 1080,60 Hz,6 ms,IPS,16:09
325579,129127,27.0  in,2560 x 1440,95 Hz,4 ms,IPS,16:09
325580,129128,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325581,129129,27.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325582,129130,43.0  in,3840 x 1200,120 Hz,5 ms,VA,16:05
325583,129131,24.0  in,1920 x 1080,,2 ms,,16:09
325584,129132,31.5  in,3840 x 2160,60 Hz,6 ms,IPS,16:09
325585,129133,27.0  in,1920 x 1080,,1 ms,,16:09
325586,129134,24.0  in,1920 x 1080,60 Hz,2 ms,TN,16:09
325587,129135,21.5  in,1920 x 1080,,5 ms,,16:09
325588,129136,24.5  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325589,129137,27.0  in,3840 x 2160,60 Hz,4 ms,IPS,16:09
325590,129138,32.0  in,2560 x 1440,75 Hz,5 ms,VA,16:09
325591,129139,24.0  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325592,129140,24.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325593,129141,27.0  in,5120 x 2880,60 Hz,8 ms,IPS,16:09
325594,129142,32.0  in,3840 x 2160,60 Hz,4 ms,VA,16:09
325595,129143,21.5  in,1920 x 1080,60 Hz,5 ms,VA,16:09
325596,129144,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325597,129145,24.0  in,1920 x 1080,60 Hz,2 ms,TN,16:09
325598,129146,32.0  in,3840 x 2160,60 Hz,2 ms,IPS,16:09
325599,129147,31.5  in,3840 x 2160,60 Hz,4 ms,VA,16:09
325600,129148,23.6  in,1920 x 1080,60 Hz,5 ms,VA,16:09
325601,129149,24.0  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325602,129150,27.0  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325603,129151,27.0  in,2560 x 1440,165 Hz,4 ms,IPS,16:09
325604,129152,42.5  in,3840 x 2160,60 Hz,8 ms,IPS,16:09
325605,129153,27.0  in,3840 x 2160,60 Hz,7 ms,IPS,16:09
325606,129154,30.0  in,2560 x 1600,60 Hz,6 ms,IPS,16:10
325607,129155,27.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325608,129156,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325609,129157,27.0  in,3840 x 2160,60 Hz,4 ms,IPS,16:09
325610,129158,24.0  in,1920 x 1080,60 Hz,1 ms,TN,16:09
325611,129159,31.5  in,2560 x 1440,60 Hz,4 ms,IPS,16:09
325612,129160,28.0  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325613,129161,35.0  in,3440 x 1440,100 Hz,4 ms,VA,21:09
325614,129162,25.0  in,2560 x 1440,60 Hz,6 ms,IPS,16:09
325615,129163,27.0  in,1920 x 1080,,5 ms,IPS,16:09
325616,129164,21.5  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325617,129165,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325618,129166,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325619,129167,27.0  in,1920 x 1080,60 Hz,1 ms,TN,16:09
325620,129168,27.0  in,2560 x 1440,,12 ms,IPS,16:09
325621,129169,34.0  in,3440 x 1440,75 Hz,5 ms,IPS,21:09
325622,129170,28.0  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325623,129171,27.0  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325624,129172,18.5  in,1366 x 768,60 Hz,5 ms,TN,16:09
325625,129173,17.0  in,1280 x 1024,,5 ms,,5:04
325626,129174,27.0  in,1920 x 1080,,2 ms,,16:09
325627,129175,21.5  in,1920 x 1080,60 Hz,6 ms,IPS,16:09
325628,129176,34.0  in,3440 x 1440,100 Hz,4 ms,VA,21:09
325629,129177,23.6  in,1920 x 1080,75 Hz,4 ms,VA,16:09
325630,129178,27.0  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325631,129179,25.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325632,129180,31.5  in,3840 x 2160,60 Hz,7 ms,IPS,16:09
325633,129181,19.5  in,1920 x 1080,60 Hz,25 ms,VA,16:09
325634,129182,27.0  in,1920 x 1080,76 Hz,5 ms,IPS,16:09
325635,129183,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325636,129184,27.0  in,2560 x 1440,144 Hz,5 ms,VA,16:09
325637,129185,23.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325638,129186,21.5  in,1920 x 1080,75 Hz,4 ms,IPS,16:09
325639,129187,31.5  in,1920 x 1080,144 Hz,4 ms,VA,16:09
325640,129188,23.8  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325641,129189,22.8  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325642,129190,23.8  in,1920 x 1080,60 Hz,7 ms,IPS,16:09
325643,129191,21.5  in,1920 x 1080,,5 ms,IPS,16:09
325644,129192,37.5  in,3840 x 1600,60 Hz,5 ms,IPS,12:05
325645,129193,31.5  in,3840 x 2160,60 Hz,4 ms,VA,16:09
325646,129194,26.9  in,2560 x 1440,60 Hz,4 ms,VA,16:09
325647,129195,21.5  in,1920 x 1080,60 Hz,2 ms,TN,16:09
325648,129196,32.0  in,3840 x 2160,60 Hz,6 ms,IPS,16:09
325649,129197,24.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325650,129198,21.5  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325651,129199,27.0  in,2560 x 1440,144 Hz,4 ms,IPS,16:09
325652,129200,27.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325653,129201,34.0  in,2560 x 1080,75 Hz,5 ms,IPS,21:09
325654,129202,21.5  in,1920 x 1080,60 Hz,5 ms,,16:09
325655,129203,27.0  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325656,129204,32.0  in,2560 x 1440,60 Hz,7 ms,VA,16:09
325657,129205,27.0  in,1920 x 1080,60 Hz,4 ms,PLS,16:09
325658,129206,27.0  in,1920 x 1080,,2 ms,,16:09
325659,129207,43.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325660,129208,27.0  in,1920 x 1080,,2 ms,TN,16:09
325661,129209,24.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325662,129210,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325663,129211,27.0  in,3840 x 2160,144 Hz,4 ms,IPS,16:09
325664,129212,34.0  in,3440 x 1440,60 Hz,5 ms,IPS,21:09
325665,129213,34.0  in,3440 x 1440,60 Hz,5 ms,IPS,21:09
325666,129214,29.0  in,2560 x 1080,75 Hz,5 ms,IPS,21:09
325667,129215,17.0  in,1280 x 1024,,5 ms,,5:04
325668,129216,21.5  in,1920 x 1080,60 Hz,1 ms,TN,16:09
325669,129217,34.0  in,2560 x 1080,60 Hz,5 ms,IPS,21:09
325670,129218,35.0  in,2560 x 1080,144 Hz,4 ms,VA,21:09
325671,129219,42.5  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325672,129220,23.8  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325673,129221,32.0  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325674,129222,23.6  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325675,129223,27.0  in,2560 x 1440,60 Hz,8 ms,IPS,16:09
325676,129224,21.5  in,1920 x 1080,60 Hz,7 ms,IPS,16:09
325677,129225,27.0  in,2560 x 1440,75 Hz,1 ms,TN,16:09
325678,129226,23.8  in,1920 x 1080,75 Hz,4 ms,IPS,16:09
325679,129227,27.0  in,2560 x 1440,60 Hz,4 ms,IPS,16:09
325680,129228,25.0  in,2560 x 1080,60 Hz,5 ms,IPS,21:09
325681,129229,19.5  in,1600 x 900,60 Hz,5 ms,TN,16:09
325682,129230,38.0  in,3840 x 1600,75 Hz,5 ms,IPS,12:05
325683,129231,34.0  in,3440 x 1440,75 Hz,5 ms,IPS,21:09
325684,129232,27.0  in,1920 x 1080,75 Hz,4 ms,IPS,16:09
325685,129233,25.0  in,2560 x 1440,60 Hz,6 ms,IPS,16:09
325686,129234,27.0  in,3840 x 2160,60 Hz,6 ms,IPS,16:09
325687,129235,18.5  in,1366 x 768,60 Hz,5 ms,,16:09
325688,129236,19.0  in,1280 x 1024,,5 ms,TN,5:04
325689,129237,32.0  in,2560 x 1440,60 Hz,4 ms,VA,16:09
325690,129238,34.0  in,3440 x 1440,60 Hz,5 ms,IPS,21:09
325691,129239,27.0  in,1920 x 1080,,5 ms,TN,16:09
325692,129240,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325693,129241,24.5  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325694,129242,27.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325695,129243,22.5  in,1920 x 1200,60 Hz,4 ms,IPS,16:10
325696,129244,27.0  in,2560 x 1440,60 Hz,8 ms,IPS,16:09
325697,129245,27.0  in,1920 x 1080,60 Hz,7 ms,IPS,16:09
325698,129246,26.9  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325699,129247,23.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325700,129248,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325701,129249,19.5  in,1440 x 900,60 Hz,14 ms,IPS,16:10
325702,129250,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325703,129251,21.5  in,1920 x 1080,75 Hz,4 ms,IPS,16:09
325704,129252,34.0  in,3440 x 1440,120 Hz,5 ms,IPS,21:09
325705,129253,31.5  in,1920 x 1080,60 Hz,8 ms,IPS,16:09
325706,129254,23.8  in,1920 x 1080,60 Hz,6 ms,IPS,16:09
325707,129255,27.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325708,129256,27.0  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325709,129257,23.8  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325710,129258,27.0  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325711,129259,21.5  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325712,129260,24.1  in,1920 x 1200,60 Hz,5 ms,IPS,16:10
325713,129261,34.0  in,3440 x 1440,60 Hz,5 ms,IPS,21:09
325714,129262,23.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325715,129263,27.0  in,2560 x 1440,60 Hz,6 ms,IPS,16:09
325716,129264,18.5  in,1366 x 768,60 Hz,5 ms,TN,16:09
325717,129265,23.0  in,1920 x 1080,60 Hz,7 ms,IPS,16:09
325718,129266,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325719,129267,23.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325720,129268,19.5  in,1600 x 900,60 Hz,5 ms,TN,16:09
325721,129269,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325722,129270,31.5  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325723,129271,23.8  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325724,129272,27.0  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325725,129273,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325726,129274,23.8  in,1920 x 1080,,5 ms,IPS,16:09
325727,129275,23.5  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325728,129276,27.0  in,2560 x 1440,60 Hz,5 ms,PLS,16:09
325729,129277,24.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325730,129278,23.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325731,129279,35.0  in,2560 x 1080,144 Hz,4 ms,VA,21:09
325732,129280,24.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325733,129281,18.5  in,1366 x 768,60 Hz,5 ms,TN,16:09
325734,129282,24.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325735,129283,25.0  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325736,129284,23.8  in,2560 x 1440,60 Hz,4 ms,IPS,16:09
325737,129285,27.0  in,2560 x 1440,60 Hz,1 ms,TN,16:09
325738,129286,23.8  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325739,129287,27.0  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325740,129288,24.0  in,1920 x 1080,120 Hz,5 ms,TN,16:09
325741,129289,43.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325742,129290,27.0  in,2560 x 1440,165 Hz,1 ms,TN,16:09
325743,129291,27.0  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325744,129292,31.5  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325745,129293,17.0  in,1280 x 1024,60 Hz,5 ms,TN,5:04
325746,129294,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325747,129295,28.0  in,3840 x 2160,60 Hz,2 ms,TN,16:09
325748,129296,23.0  in,1920 x 1080,,2 ms,,16:09
325749,129297,31.5  in,3840 x 2160,60 Hz,4 ms,,16:09
325750,129298,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325751,129299,23.0  in,5760 x 2160,,8 ms,,24:09:00
325752,129300,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325753,129301,19.0  in,1440 x 900,,5 ms,,16:10
325754,129302,32.0  in,2560 x 1440,60 Hz,4 ms,VA,16:09
325755,129303,23.6  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325756,129304,21.5  in,1920 x 1080,60 Hz,2 ms,TN,16:09
325757,129305,27.0  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325758,129306,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325759,129307,27.0  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325760,129308,24.1  in,1920 x 1200,,6 ms,IPS,16:10
325761,129309,23.8  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325762,129310,23.8  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325763,129311,23.8  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325764,129312,21.5  in,1920 x 1080,60 Hz,12 ms,VA,16:09
325765,129313,20.0  in,1600 x 1200,60 Hz,16 ms,,4:03
325766,129314,22.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325767,129315,25.0  in,1920 x 1080,60 Hz,7 ms,IPS,16:09
325768,129316,22.0  in,1680 x 1050,60 Hz,5 ms,,16:10
325769,129317,22.0  in,1680 x 1050,60 Hz,,IPS,16:10
325770,129318,31.5  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325771,129319,31.5  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325772,129320,28.0  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325773,129321,23.8  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325774,129322,23.8  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325775,129323,23.0  in,1920 x 1080,,8 ms,IPS,16:09
325776,129324,19.0  in,1366 x 768,60 Hz,5 ms,,16:09
325777,129325,25.0  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325778,129326,27.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325779,129327,27.0  in,2560 x 1440,70 Hz,5 ms,IPS,16:09
325780,129328,22.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325781,129329,27.0  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325782,129330,27.0  in,1920 x 1080,60 Hz,1 ms,TN,16:09
325783,129331,27.0  in,1920 x 1080,144 Hz,4 ms,VA,16:09
325784,129332,27.0  in,1920 x 1080,60 Hz,8 ms,IPS,16:09
325785,129333,31.5  in,2560 x 1440,75 Hz,4 ms,IPS,16:09
325786,129334,25.0  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325787,129335,34.0  in,3440 x 1440,100 Hz,,VA,21:09
325788,129336,29.0  in,2560 x 1080,60 Hz,5 ms,IPS,21:09
325789,129337,15.6  in,1366 x 768,60 Hz,10 ms,,16:09
325790,129338,25.0  in,1920 x 1080,60 Hz,6 ms,IPS,16:09
325791,129339,21.5  in,1920 x 1080,60 Hz,6 ms,,16:09
325792,129340,23.0  in,1920 x 1080,60 Hz,6 ms,IPS,16:09
325793,129341,22.5  in,1920 x 1200,60 Hz,5 ms,IPS,16:10
325794,129342,22.0  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325795,129343,23.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325796,129344,20.0  in,1600 x 900,,5 ms,TN,16:09
325797,129345,31.5  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325798,129346,23.8  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325799,129347,27.0  in,3840 x 2160,60 Hz,8 ms,IPS,16:09
325800,129348,31.5  in,2560 x 1440,75 Hz,4 ms,VA,16:09
325801,129349,27.0  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325802,129350,27.0  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325803,129351,48.9  in,3840 x 1080,144 Hz,5 ms,VA,32:09:00
325804,129352,24.0  in,1920 x 1080,,5 ms,TN,16:09
325805,129353,27.0  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325806,129354,27.0  in,1920 x 1080,75 Hz,4 ms,IPS,16:09
325807,129355,24.0  in,1920 x 1200,,6 ms,IPS,16:10
325808,129356,23.0  in,1920 x 1080,,5 ms,,16:09
325809,129357,32.0  in,3840 x 2160,60 Hz,4 ms,,16:09
325810,129358,24.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325811,129359,19.5  in,1920 x 1080,60 Hz,5 ms,VA,16:09
325812,129360,23.6  in,1920 x 1080,60 Hz,5 ms,VA,16:09
325813,129361,23.8  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325814,129362,19.0  in,1280 x 1024,60 Hz,5 ms,TN,5:04
325815,129363,34.0  in,3440 x 1440,60 Hz,4 ms,VA,21:09
325816,129364,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325817,129365,30.0  in,2560 x 1080,200 Hz,4 ms,VA,21:09
325818,129366,24.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325819,129367,19.5  in,1600 x 900,60 Hz,5 ms,TN,16:09
325820,129368,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325821,129369,21.5  in,1920 x 1080,,5 ms,TN,16:09
325822,129370,23.0  in,1920 x 1080,120 Hz,2 ms,,16:09
325823,129371,27.0  in,2560 x 1440,75 Hz,5 ms,IPS,16:09
325824,129372,27.0  in,1920 x 1080,60 Hz,5 ms,VA,16:09
325825,129373,27.0  in,1920 x 1080,,5 ms,TN,16:09
325826,129374,23.8  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325827,129375,29.0  in,2560 x 1080,,5 ms,IPS,21:09
325828,129376,27.0  in,1920 x 1080,60 Hz,,IPS,16:09
325829,129377,27.0  in,2560 x 1440,60 Hz,1 ms,TN,16:09
325830,129378,27.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325831,129379,23.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325832,129380,23.8  in,1920 x 1080,60 Hz,7 ms,IPS,16:09
325833,129381,23.0  in,1920 x 1080,75 Hz,7 ms,IPS,16:09
325834,129382,23.8  in,1920 x 1080,60 Hz,6 ms,IPS,16:09
